Gene ID,Gene Description,Gene Accession Number
0,AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
1,AFFX-BioB-M_at (endogenous control),AFFX-BioB-M_at
2,AFFX-BioB-3_at (endogenous control),AFFX-BioB-3_at
3,AFFX-BioC-5_at (endogenous control),AFFX-BioC-5_at
4,AFFX-BioC-3_at (endogenous control),AFFX-BioC-3_at
5,AFFX-BioDn-5_at (endogenous control),AFFX-BioDn-5_at
6,AFFX-BioDn-3_at (endogenous control),AFFX-BioDn-3_at
7,AFFX-CreX-5_at (endogenous control),AFFX-CreX-5_at
8,AFFX-CreX-3_at (endogenous control),AFFX-CreX-3_at
9,AFFX-BioB-5_st (endogenous control),AFFX-BioB-5_st
10,AFFX-BioB-M_st (endogenous control),AFFX-BioB-M_st
11,AFFX-BioB-3_st (endogenous control),AFFX-BioB-3_st
12,AFFX-BioC-5_st (endogenous control),AFFX-BioC-5_st
13,AFFX-BioC-3_st (endogenous control),AFFX-BioC-3_st
14,AFFX-BioDn-5_st (endogenous control),AFFX-BioDn-5_st
15,AFFX-BioDn-3_st (endogenous control),AFFX-BioDn-3_st
16,AFFX-CreX-5_st (endogenous control),AFFX-CreX-5_st
17,AFFX-CreX-3_st (endogenous control),AFFX-CreX-3_st
18,hum_alu_at (miscellaneous control),hum_alu_at
19,AFFX-DapX-5_at (endogenous control),AFFX-DapX-5_at
20,AFFX-DapX-M_at (endogenous control),AFFX-DapX-M_at
21,AFFX-DapX-3_at (endogenous control),AFFX-DapX-3_at
22,AFFX-LysX-5_at (endogenous control),AFFX-LysX-5_at
23,AFFX-LysX-M_at (endogenous control),AFFX-LysX-M_at
24,AFFX-LysX-3_at (endogenous control),AFFX-LysX-3_at
25,AFFX-PheX-5_at (endogenous control),AFFX-PheX-5_at
26,AFFX-PheX-M_at (endogenous control),AFFX-PheX-M_at
27,AFFX-PheX-3_at (endogenous control),AFFX-PheX-3_at
28,AFFX-ThrX-5_at (endogenous control),AFFX-ThrX-5_at
29,AFFX-ThrX-M_at (endogenous control),AFFX-ThrX-M_at
