algorithm,precision,accuracy,recall,f1
algorithm,precision,accuracy,recall,f1
Logistic regression,0.5155502392344498,0.5039084873773221,0.5307820431937249,0.4862874799303434
Logistic regression,0.5940119760479042,0.5969110344694993,0.5848240765969566,0.5550962014800721
Logistic regression,0.518562874251497,0.5117337223533085,0.5277666541525884,0.511703966168615
Logistic regression,0.592814371257485,0.5847354095231824,0.592955009709306,0.585813825041508
Logistic regression,0.5413173652694611,0.541114357575977,0.533108804648603,0.5075785192362036
SVM,0.5789473684210527,0.5726920060732364,0.5819870029511327,0.5733289670645147
SVM,0.6119760479041916,0.621463255108181,0.6056047797972051,0.5898284725469592
SVM,0.5341317365269461,0.5326574859881305,0.5381051817623185,0.5348155378752257
SVM,0.6359281437125749,0.63470321175065,0.6377657762993317,0.636028669247824
SVM,0.5592814371257485,0.5499351835129332,0.5581883193870728,0.5501860812553819
