algorithm,precision,accuracy,recall,f1
Logistic regression,0.7597402597402597,0.7428571428571429,0.48148148148148145,0.5842696629213483
Logistic regression,0.7857142857142857,0.6981132075471698,0.6851851851851852,0.6915887850467289
Logistic regression,0.7597402597402597,0.6888888888888889,0.5740740740740741,0.6262626262626262
Logistic regression,0.8366013071895425,0.85,0.6415094339622641,0.7311827956989247
Logistic regression,0.7843137254901961,0.7380952380952381,0.5849056603773585,0.6526315789473685
SVM,0.7662337662337663,0.78125,0.46296296296296297,0.5813953488372093
SVM,0.7987012987012987,0.7254901960784313,0.6851851851851852,0.7047619047619048
SVM,0.7662337662337663,0.75,0.5,0.6
SVM,0.8496732026143791,0.8571428571428571,0.6792452830188679,0.7578947368421052
SVM,0.7843137254901961,0.7272727272727273,0.6037735849056604,0.6597938144329897
